0.625498 , 0.142402 , 0.333333 , 0.064162 , 0.058038 , 0.036436 , 0.063312 , 0.392884 , 0.679793
0.810757 , 0.121148 , 0.647059 , 0.015342 , 0.027157 , 0.017433 , 0.027134 , 0.074551 , 0.175259
0.234064 , 0.515409 , 0.686275 , 0.032529 , 0.035382 , 0.024580 , 0.040454 , 0.364898 , 0.462681
0.643426 , 0.137088 , 0.666667 , 0.078608 , 0.069056 , 0.040136 , 0.074659 , 0.353630 , 0.383093
0.634462 , 0.136026 , 0.647059 , 0.027310 , 0.027002 , 0.016116 , 0.028449 , 0.304961 , 0.381444
0.655378 , 0.123273 , 0.058824 , 0.064426 , 0.096369 , 0.036772 , 0.091926 , 0.221707 , 0.252578
0.590637 , 0.157279 , 0.647059 , 0.078898 , 0.146027 , 0.073517 , 0.155567 , 0.120019 , 0.896906
0.650398 , 0.139214 , 0.333333 , 0.047660 , 0.047176 , 0.033241 , 0.053445 , 0.325706 , 0.409279
0.650398 , 0.121148 , 0.039216 , 0.080822 , 0.076505 , 0.037949 , 0.079757 , 0.511634 , 0.656907
0.623506 , 0.161530 , 0.725490 , 0.085093 , 0.130199 , 0.097592 , 0.135833 , 0.146832 , 0.322887
0.209163 , 0.565356 , 1.000000 , 0.044998 , 0.049193 , 0.020068 , 0.048347 , 0.313541 , 0.909895
0.659363 , 0.162593 , 0.647059 , 0.106393 , 0.112353 , 0.076039 , 0.124651 , 0.250617 , 0.247424
0.644422 , 0.127524 , 0.549020 , 0.018927 , 0.026847 , 0.029205 , 0.029600 , 0.185963 , 0.282269
0.671315 , 0.159405 , 0.137255 , 0.108449 , 0.118715 , 0.049945 , 0.122348 , 0.183949 , 0.278764
0.877490 , 0.026567 , 0.431373 , 0.045077 , 0.062384 , 0.038314 , 0.061832 , 0.053454 , 0.093610
0.291833 , 0.634431 , 0.392157 , 0.085594 , 0.103197 , 0.073096 , 0.108864 , 0.099474 , 0.150105
0.603586 , 0.148778 , 0.725490 , 0.063398 , 0.097610 , 0.049637 , 0.092255 , 0.073213 , 0.192991
0.222112 , 0.517535 , 0.627451 , 0.076183 , 0.095593 , 0.034951 , 0.095379 , 0.336051 , 0.713195
0.618526 , 0.168969 , 0.941176 , 0.116937 , 0.124457 , 0.046162 , 0.121691 , 0.317740 , 0.958142
0.597610 , 0.142402 , 0.843137 , 0.021616 , 0.027778 , 0.013369 , 0.028943 , 0.268969 , 0.434639
0.464143 , 0.200850 , 0.843137 , 0.064268 , 0.075109 , 0.028252 , 0.072521 , 0.251659 , 0.883710
0.615538 , 0.143464 , 0.196078 , 0.094978 , 0.136406 , 0.101853 , 0.143397 , 0.147095 , 0.300413
0.719124 , 0.017003 , 0.803922 , 0.031844 , 0.045158 , 0.026402 , 0.042263 , 0.027531 , 0.131754
0.588645 , 0.184910 , 0.705882 , 0.024832 , 0.037709 , 0.030943 , 0.038481 , 0.101302 , 0.266187
0.227092 , 0.607864 , 0.274510 , 0.030869 , 0.022502 , 0.012528 , 0.025160 , 0.382671 , 0.376702
0.585657 , 0.155154 , 0.803922 , 0.033452 , 0.046555 , 0.016004 , 0.051143 , 0.181411 , 0.671133
0.186255 , 0.549416 , 0.823529 , 0.101437 , 0.157821 , 0.041873 , 0.136162 , 0.208942 , 0.793813
0.283865 , 0.639745 , 0.882353 , 0.069698 , 0.099938 , 0.047115 , 0.101135 , 0.043317 , 0.222888
0.721116 , 0.029756 , 0.294118 , 0.111744 , 0.138268 , 0.049553 , 0.141917 , 0.267245 , 0.312372
0.603586 , 0.149841 , 0.745098 , 0.044787 , 0.066263 , 0.041061 , 0.067423 , 0.101399 , 0.161239
