"";"pred";"obs"
"1";0,586696207523346;0,487423
"2";0,299005120992661;0,284331
"3";0,117479503154755;0,159589
"4";0,203788593411446;1
"5";0,566530585289001;0,6367
"6";0,11737098544836;0,105156
"7";0,500971078872681;0,372784
"8";0,709075331687927;0,564536
"9";0,854213714599609;1
"10";0,366654902696609;0,340619
"11";0,999809205532074;1
"12";0,257948756217957;0,204743
"13";0,266326248645782;0,304537
"14";0,531104147434235;0,624123
"15";0,507091045379639;0,419176
"16";0,467243403196335;0,466392
"17";0,774460136890411;0,788452
"18";0,166261479258537;0,162476
"19";0,523743629455566;0,367217
"20";0,242331326007843;0,326599
"21";0,368243664503098;0,355671
"22";0,120266318321228;0,102476
"23";0,31245031952858;0,220826
"24";0,468070507049561;0,553196
"25";0,158647119998932;0,199589
"26";0,510022222995758;0,742267
"27";0,202933296561241;0,274228
"28";0,274414509534836;0,152373
"29";0,577445983886719;0,793813
"30";0,267117470502853;0,271547
"31";0,717480480670929;0,680618
"32";0,135003343224525;0,162888
"33";0,204134821891785;0,295259
"34";0,27334275841713;0,29196
"35";0,741667866706848;0,686597
"36";0,314708083868027;0,236702
"37";0,543773114681244;0,416701
"38";0,511454105377197;0,770102
"39";0,473391056060791;0,545979
"40";0,373543292284012;0,335052
"41";0,472541987895966;0,380207
"42";0,352323532104492;0,304125
"43";0,902182996273041;1
"44";0,391647398471832;0,408866
"45";0,176522880792618;0,151754
"46";0,268262177705765;0,221032
"47";0,284143596887589;0,298351
"48";0,494760423898697;0,51299
"49";0,21171398460865;0,172579
"50";0,387787342071533;0,452371
"51";0,408440917730331;0,554845
"52";0,907477200031281;0,793813
"53";0,317261397838593;0,195465
"54";0,747676968574524;0,793813
"55";0,226049244403839;0,27629
"56";0,357142269611359;0,360001
"57";0,107747763395309;0,13361
"58";0,447342276573181;0,31732
"59";0,813260614871979;0,889895
"60";0,232116386294365;0,155878
"61";0,998385608196259;1
"62";0,185601264238358;0,127218
"63";0,259198874235153;0,240826
"64";0,240928485989571;0,226805
"65";0,701831996440887;1
"66";0,550905406475067;0,440619
"67";0,453276842832565;0,354846
"68";0,364204257726669;0,395671
"69";0,352710336446762;0,472165
"70";0,275221228599548;0,220414
"71";0,508489787578583;0,452371
"72";0,295171797275543;0,288042
"73";0,191672757267952;0,171754
"74";0,38366836309433;0,19464
"75";0,419079095125198;0,254022
"76";0,342503815889359;0,419794
"77";0,295149356126785;0,355671
"78";0,884459614753723;0,712783
"79";0,222796559333801;0,257321
"80";0,489727884531021;0,441856
"81";0,314915955066681;0,233609
"82";0,207755655050278;0,274022
"83";0,30539071559906;0,353609
"84";0,0850156247615814;0,071342
"85";0,216694265604019;0,210517
"86";0,378726631402969;0,431959
"87";0,125396877527237;0,125569
"88";0,13646212220192;0,126599
"89";0,244352608919144;0,162682
"90";0,0866355746984482;0,109899
"91";0,110716603696346;0,087631
"92";0,890807092189789;1
"93";0,143886923789978;0,151135
"94";0,310861319303513;0,35897
"95";0,379550278186798;0,300413
"96";0,547143697738647;0,705154
"97";0,120749212801456;0,214022
"98";0,367751896381378;0,24062
"99";0,431792140007019;0,367423
"100";0,325011789798737;0,264743
"101";0,274474143981934;0,247218
"102";0,188892215490341;0,215671
"103";0,191667199134827;0,229692
"104";0,281778156757355;0,198558
"105";0,162632614374161;0,214847
"106";0,174972906708717;0,139589
"107";0,410180658102036;0,506598
"108";0,523583829402924;0,475464
"109";0,361772358417511;0,252578
"110";0,364423990249634;0,332166
"111";0,614607095718384;0,56
"112";0,258983135223389;0,268042
"113";0,263127982616425;0,317527
"114";0,585245311260223;0,855875
"115";0,110777087509632;0,278351
"116";0,497430115938187;0,350722
"117";0,336286306381226;0,230517
"118";0,208939954638481;0,260001
"119";0,380869120359421;0,536701
"120";0,105281032621861;0,059589
"121";0,457292467355728;0,43299
"122";0,158950701355934;0,166805
"123";0,219098538160324;0,458763
"124";0,459501594305038;0,420207
"125";0,177128374576569;0,243919
"126";0,638096272945404;0,418557
"127";0,389136075973511;0,37897
"128";0,585066378116608;0,716494
"129";0,474767446517944;0,3433
"130";0,285394340753555;0,372784
"131";0,427908450365067;0,366392
"132";0,94083434343338;1
"133";0,159594967961311;0,161651
"134";0,354684591293335;0,43299
"135";0,998107016086578;0,847421
"136";0,290793776512146;0,299382
"137";0,98045825958252;0,937936
"138";0,3490249812603;0,343506
"139";0,999936103820801;1
"140";0,655978798866272;0,687834
"141";0,0800106674432755;0,091342
"142";0,120624624192715;0,12227
"143";0,324701309204102;0,366598
"144";0,342402637004852;0,454846
"145";0,417000323534012;0,354227
"146";0,551568627357483;0,561855
"147";0,128867015242577;0,151135
"148";0,629585862159729;0,601649
"149";0,545868396759033;0,537113
"150";0,618453919887543;0,59567
"151";0,190204814076424;0,355671
"152";0,586859226226807;0,340413
"153";0,408400326967239;0,49134
"154";0,412242829799652;0,442474
"155";0,209371864795685;0,188249
"156";0,340085744857788;0,322681
"157";0,692270576953888;0,805153
"158";0,129126325249672;0,170723
"159";0,266135305166245;0,239383
"160";0,479423761367798;0,317733
"161";0,482318192720413;0,268455
"162";0,999357163906097;1
"163";0,565896451473236;0,612164
"164";0,255158662796021;0,245568
"165";0,467520296573639;0,363093
"166";0,592124760150909;0,625773
"167";0,358363956212997;0,136703
"168";0,129424810409546;0,081239
"169";0,144061341881752;0,099589
"170";0,438566386699677;0,410516
"171";0,427026033401489;0,366186
"172";0,996895730495453;1
"173";0,511665463447571;0,610515
"174";0,151705369353294;0,118971
"175";0,593904435634613;0,441444
"176";0,377601236104965;0,452784
"177";0,460714429616928;0,514639
"178";0,517599940299988;0,827009
"179";0,264274537563324;0,192785
"180";0,336316049098969;0,572165
"181";0,394457876682281;0,414227
"182";0,466152191162109;0,344949
"183";0,501850187778473;0,460206
"184";0,780874967575073;0,683298
"185";0,164039745926857;0,152579
"186";0,399582922458649;0,360413
"187";0,477305740118027;0,356702
"188";0,570281624794006;0,602061
"189";0,429879426956177;0,411134
"190";0,285696566104889;0,201032
"191";0,501610338687897;0,252578
"192";0,49443107843399;0,531959
"193";0,20920741558075;0,216496
"194";0,352379351854324;0,252578
"195";0,442857682704926;0,222475
"196";0,333232045173645;0,394433
"197";0,448676258325577;0,459794
"198";0,363816380500793;0,277733
"199";0,72399628162384;0,723298
"200";0,249888971447945;0,293197
"201";0,778550863265991;1
"202";0,420538753271103;1
"203";0,414083242416382;0,510309
"204";0,123818695545197;0,172785
"205";0,200437441468239;0,232785
"206";0,260823875665665;0,236496
"207";0,26652318239212;0,241238
"208";0,354414999485016;0,340001
"209";0,439395099878311;0,513608
"210";0,99220609664917;1
"211";0,66162645816803;0,499588
"212";0,0979223102331161;0,092373
"213";0,271172225475311;0,287011
"214";0,327082306146622;0,26165
"215";0,330380827188492;0,212991
"216";0,273099690675735;0,252578
"217";0,246667832136154;0,322475
"218";0,276987135410309;0,282063
"219";0,462033987045288;0,372372
"220";0,545133173465729;0,442887
"221";0,099330760538578;0,113816
"222";0,652078568935394;0,536082
"223";0,372356325387955;0,475876
"224";0,760318458080292;0,746185
"225";0,589061319828033;0,827421
"226";0,110663786530495;0,122476
"227";0,809711039066315;0,62103
"228";0,246866717934608;0,221444
"229";0,353721469640732;0,427011
"230";0,409580647945404;0,36433
"231";0,248825967311859;0,145568
"232";0,185301050543785;0,074847
"233";0,442611247301102;0,59567
"234";0,356465220451355;0,663504
"235";0,266305208206177;0,308867
"236";0,61077618598938;0,342269
"237";0,179158806800842;0,226805
"238";0,158741801977158;0,149486
"239";0,197659656405449;0,305155
"240";0,689021527767181;0,632164
"241";0,279651522636414;0,269898
"242";0,626498937606812;0,659175
"243";0,398391574621201;0,357114
"244";0,40395399928093;0,406598
"245";0,178775131702423;0,110311
"246";0,286660611629486;0,978555
"247";0,523615896701813;0,592165
"248";0,374255776405334;0,31732
"249";0,404479026794434;0,486804
"250";0,0807733461260796;0,091136
"251";0,170374915003777;0,145568
"252";0,482973486185074;0,342887
"253";0,232666313648224;0,190311
"254";0,283385664224625;0,458763
"255";0,31122100353241;0,252578
"256";0,475730240345001;0,477938
"257";0,345745593309402;0,372165
"258";0,19515323638916;0,233609
"259";0,533699631690979;0,353403
"260";0,292426735162735;0,308248
"261";0,399716377258301;0,427011
"262";0,536583960056305;0,690721
"263";0,416009366512299;0,389073
"264";0,301182776689529;0,304331
"265";0,622288048267365;0,716494
